city,lat,lng,country,iso2,admin_name,capital,population,population_proper,description,,,,,,,,,,,,,,,,,,,,,,,,,url
Timargara,34.8281,71.8408,Pakistan,PK,Khyber Pakhtunkhwa,minor,58050,58050,"The people of Timergara are mainly Pashtun.The town is the site of excavated graves of Indo-Aryans, dating from 1500 to 600 BC. On the west side of the Panjkora River is the excavated site of Balambat.",,,,,,,,,,,,,,,,,,,,,,,,,C:/Users/hp/Desktop/zohaib/semester 8/FYP/location_images/Timargara.jpg
Parachinar,33.8992,70.1008,Pakistan,PK,Khyber Pakhtunkhwa,,55685,55685,"As this poplar trees was located right between the British established offices and the Kurram militia, and people from remote areas of the Kurram Valley often came and gathered here.Parachinar is very famous for its fresh fruits
",,,,,,,,,,,,,,,,,,,,,,,,,C:/Users/hp/Desktop/zohaib/semester 8/FYP/location_images/Parachinar.jpg
Tank,32.2167,70.3833,Pakistan,PK,Khyber Pakhtunkhwa,minor,44996,44996," The city of Tank is the capital of the district, which consists of Union Council City I and Union Council City II. There are sixteen Union councils of district Tank.Tank is bounded by the districts of Lakki Marwat to the northeast, Dera Ismail Khan to the east and southeast, FR Tank to the north and the South Waziristan Agency to the west. The climate in Tank reaches 110‚Äì120 ¬∞F. ",,,,,,,,,,,,,,,,,,,,,,,,,C:/Users/hp/Desktop/zohaib/semester 8/FYP/location_images/Tank.jpg
Hangu,33.5281,71.0572,Pakistan,PK,Khyber Pakhtunkhwa,minor,39766,39766,"Hangu is  a city in the Khyber Pakhtunkhwa province of Pakistan. It is the largest city and namesake of Hangu District and is the third-largest city in Kohat Division, after Karak and Kohat. In 1998, Hangu was the second-largest city in the division. Hangu is the 27th largest city in the province of Khyber Pakhtunkhwa. The principal language of the city is Pashto.",,,,,,,,,,,,,,,,,,,,,,,,,C:/Users/hp/Desktop/zohaib/semester 8/FYP/location_images/Hangu.jpg
Risalpur Cantonment,34.0049,71.9989,Pakistan,PK,Khyber Pakhtunkhwa,,36653,36653,"Risalpur is known as ""Home of Eagles"" and ""Home of Sappers"". It has several important educational institutions and industrial plants.",,,,,,,,,,,,,,,,,,,,,,,,,C:/Users/hp/Desktop/zohaib/semester 8/FYP/location_images/Risalpur Cantonment.jpg
Karak,33.1167,71.0833,Pakistan,PK,Khyber Pakhtunkhwa,minor,35844,35844,Karak is an arid region of Southwest KP and is famous for its Zizyphus trees (Ber) because of its unique feature of dry land. Honey production is widespread in Karak. The most important indigenous flora for honey production includes Zizyphus (Ber) and Phulai (Acacia).,,,,,,,,,,,,,,,,,,,,,,,,,C:/Users/hp/Desktop/zohaib/semester 8/FYP/location_images/Karak.jpg
Chitral,35.8511,71.7889,Pakistan,PK,Khyber Pakhtunkhwa,minor,31100,31100,"Chitral is known for its snowfall and deadly avalanches. The road that goes towards Chitral is very dangerous as it's one of the most narrow roads in the world, and it is situated in the world's largest mountain range",,,,,,,,,,,,,,,,,,,,,,,,,
Kulachi,31.9286,70.4592,Pakistan,PK,Khyber Pakhtunkhwa,,24738,24738,Kulachi is a city named after the Kulachi Baloch tribe and is the headquarter of Kulachi Tehsil (an administrative subdivision) of Dera Ismail Khan,,,,,,,,,,,,,,,,,,,,,,,,,C:/Users/hp/Desktop/zohaib/semester 8/FYP/location_images/Kulachi.jpg
Haripur,33.9942,72.9333,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"Haripur is the main city of the Haripur District in Hazara in KPK. It is in a hilly plain area at an altitude of 520 m.The city lies on the Karakoram Highway.The city is named after Sardaar Hari Singh Nalwa, reminiscent of the area‚Äôs Sikh history, having been founded by particular Sikh general.Haripur is a green valley, rich in fruits and vegetables which is also famous for its guavas and red blood oranges.",,,,,,,,,,,,,,,,,,,,,,,,,C:/Users/hp/Desktop/zohaib/semester 8/FYP/location_images/haripur.jpg
Malakand,34.5656,71.9304,Pakistan,PK,Khyber Pakhtunkhwa,minor,,," Particularly, the orange (malta) of Malakand is quite famous around Pakistan, is of export quality as well. Given the advent of CPEC in KP, it is high time that the horticulture of Malakand District is given a boost so that it can become a major ‚ÄúFruit Supply Centre‚Äù to China and Central Asia.The famous Malakand Pass which connects Mardan to Swat and Dir is located near Dargai.",,,,,,,,,,,,,,,,,,,,,,,,,C:/Users/hp/Desktop/zohaib/semester 8/FYP/location_images/Malakand.jpg
Batgram,34.6796,73.0263,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"This district is noted for its scenic mountain scenery, thick forests, fertile landsand enchanting streams. Most of the population is rural , fishing has also become a mode of earningdue to some modern scientific techniques.",,,,,,,,,,,,,,,,,,,,,,,,,C:/Users/hp/Desktop/zohaib/semester 8/FYP/location_images/Batgram.jpg
Alpurai,34.9,72.6556,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"Its area is 1586 square kilometers, so its a relatively big city, crowdy with a lot of things to do and activities to do. If you book an accommodation in Alpurai you may find expensive accommodations due to its high accommodation rates.Alpurai near cities are very friendly places like Buner District. So you and your family could easily travel to these near travel destinations for new Pakistan adventures.",,,,,,,,,,,,,,,,,,,,,,,,,C:/Users/hp/Desktop/zohaib/semester 8/FYP/location_images/Alpurai.jpg
Lakki,32.6072,70.9123,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"A fort in the heart of Marwat which he called Ihsanpur. A town grew up under its walls and became the capital of Marwat. He induced many of the leading classes to settle near it, so a number of families that had moved to Isakhel returned to the region.",,,,,,,,,,,,,,,,,,,,,,,,,C:/Users/hp/Desktop/zohaib/semester 8/FYP/location_images/Lakki.jpg
Upper Dir,35.2074,71.8768,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,Most the tourist attractions in Dir such as the Chakdara Museum and Churchill Picket pack an historical punch displaying cultural artefacts from centuries gone by.,,,,,,,,,,,,,,,,,,,,,,,,,C:/Users/hp/Desktop/zohaib/semester 8/FYP/location_images/Upper Dir.jpg
Dasu,35.2917,73.2906,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"We know of 9 airports in the wider vicinity of Dasu, of which one is a larger airport. The closest airport in Pakistan is Chilas Airport in a distance of 46 mi (or 73 km), East.",,,,,,,,,,,,,,,,,,,,,,,,,C:/Users/hp/Desktop/zohaib/semester 8/FYP/location_images/Dasu.jpg
Aansu Lake,34.81,73.67,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"Ansoo Lake is one of the panoramic & beautiful lakes of Pakistan. It is located near Malika Parbat in the Himalayan range in Kaghan Valley. The name ìAnsooî comes from its tear-like shape (the Urdu word Ansoo means teardrop). The lake is said to have been discovered in 1993 by Pakistan Air Force pilots who were flying at a relatively low altitude over the area. Earlier, the lake was not even known to the locals. It can be reached by a difficult trek from Saif-Ul-Muluk Lake, Naran.",,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\hp\Desktop\zohaib\semester 8\FYP\archive (2)\location_images\Aansu-Lake.JPG
Babusar Top,35.14,74.04,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"The views from the top are truly breathtaking. Clouds that used to appear on mountaintops now surround you. Looking down from the top, you can see a spectacular road that twists and turns through the mountains. On a clear day, the great Nanga Parbat (26,660 feet) can also be seen from here.one og the highest mountains , clear blue sky.",,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\hp\Desktop\zohaib\semester 8\FYP\archive (2)\location_images\Babusar_Top.jpg
Balakot Mansehra,34.54,73.35,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"Balakot is located on the right bank of the Kunhar River. It is almost at two-thirds of the length of river from it its origin at Lake Dharam Sar deep in the Kaghan Valley, before it confluence with Jehlum River.The lower area below Balakot, sometimes referred to as Nainsukh Valley, is temperate while Kaghan Valley above Balakot City is cold enough to turn the whole area to freezing in the winter. Kaghan valley is a pleasant summer destination. Its upper part from Naran upstream lacks the monsoon but the lower part get it well and so is forested.Balakot is now expanding city and centre among distant northern parts of Pakistan. Smaller hamlets are located in the terraced mountains around it.",,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\hp\Desktop\zohaib\semester 8\FYP\archive (2)\location_images\Balakot_Mansehra.jpg
Bala hisar port,34.01,71.56,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"Bala Hisar, is a historic fortress located in Peshawar, Khyber Pakhtunkhwa, Pakistan. First mentioned by 7th-century explorer Xuanzang, the fort was used as a royal residence for the Durrani Empire since 1747, when the Afghan king, Ahmad Shah Durrani, conquered Peshawar. The Marathas briefly occupied it after capturing Peshawar in 1758 but it was soon retaken by the Afghans. The Sikhs destroyed and reconstructed the fort after capturing Peshawar in March 1823. In 1849, the British East India Company reconstructed the fort's outer walls.",,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\hp\Desktop\zohaib\semester 8\FYP\archive (2)\location_images\Bala_Hisar_Fort.jpg
Batakundi Naran,34.9,73.64,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"Batakundi or Battakundi is a tourist town located 15 km east of Naran in Mansehra District, Khyber Pakhtunkhwa, Pakistan.clear water , breath taking moments,blue sky , green lush valleys.",,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\hp\Desktop\zohaib\semester 8\FYP\archive (2)\location_images\Batakundi_Naran.jpg
Bilot Fort Temple,36.19,74.4,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"Kafir Kot or Kafirkot  is an ancient Hindu Temple complex in the Dera Ismail Khan District of Khyber Pakhtunkhwa, Pakistan. It consists of the ruins of five temples and a large fort. The Kafir Kot complex in Khyber Pakhtunkhwa is often referred to as the ""Northern Kafir Kot"" to contrast it with the ""Southern Kafir Kot"" that is located in the town of Bilot Sharif, approximately 35 kilometres (22 mi) to the south.",,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\hp\Desktop\zohaib\semester 8\FYP\archive (2)\location_images\Bilot_Fort_Temple.jpg
Boyun Valley,35.47,72.6,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"Boyun Village is known for its beautiful natural scenery, lush green forests, and stunning waterfalls. The village is surrounded by tall mountains and offers stunning views of the surrounding hills and valleys.",,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\hp\Desktop\zohaib\semester 8\FYP\archive (2)\location_images\Boyun_Valley.jpg
Broghil Valley,36.16,73.39,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"It is Pakistan's 2nd highest lake which is famous for its pristine water. It is also the deepest lake in the Broghil Valley. The water clarity level is 13.75 (Secchi Disc Reading), which is the highest value ever recorded in Pakistan. The Chikaar region of the valley.",,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\hp\Desktop\zohaib\semester 8\FYP\archive (2)\location_images\Broghil_Valley_Chitral.jpg
Buni Zom Chitral,36.15,72.32,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"The Buni Zom group is a prominent mountain area of Chitral, in the Hindu Raj range of Pakistan. Buni Zom (main) is the highest peak of the group with an elevation of 6,542 m (21,463 ft).[2] It is located about 50 km (30 mi) northeast of the town of Chitral, and about 50 km (30 mi) east of Tirich Mir (7,708 m), the highest peak in the Hindu Kush",,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\hp\Desktop\zohaib\semester 8\FYP\archive (2)\location_images\Buni_Zom_Chitral.jpg
Butkara Stupa Swat,34.75,72.37,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"The stupa (ìstupaî is Sanskrit for heap) is an important form of Buddhist architecture, though it predates Buddhism. It is generally considered to be a sepulchral monumentóa place of burial or a receptacle for religious objects. At its simplest, a stupa is a dirt burial mound faced with stone.",,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\hp\Desktop\zohaib\semester 8\FYP\archive (2)\location_images\Butkara_Stupa_Swat.jpg
ChitiBoui Glacier,35.73,76.37,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"Broghil Valley is 250 km (160 mi) from the main town of Chitral and is the northernmost valley within the Chitral district. Broghil valley borders on the Afghan Wakhan corridor, which stretches between Tajikistan and Pakistan.The area is mostly mountainous. Elevations range from between 3,280 m (10,760 ft) at the village of Kishmanjah to 4,304 m (14,121 ft) at Karambar Lake in the northeast. The terrain is undulating with mountains, grassy plains, and valleys. It includes almost 3,400 ha of peatlands and lakes. The valley features around 30 freshwater lakes and is surrounded by glaciers and mountains.Attendees enjoy attractions and activities such as yak polo and exhibitions of woolen handicrafts, accompanied by traditional food and music.",,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\hp\Desktop\zohaib\semester 8\FYP\archive (2)\location_images\ChitiBoui_Glacier.jpg
Chitral Gol National Park,35.89,71.69,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"Chitral Gol National Park (Urdu: ????? ??? ????? ????) is one of the National Parks of Pakistan. It is located in Chitral District in Khyber-Pakhtunkhwa province of Pakistan beside the Chitral River, at a distance of two hours drive from Chitral town. The park is also known as Chitral National Park.It is famous for Markhor (Wild goat), Snow Leopard and other wild animals in the dense pine forests of the national park. It shouldn't be missed if you are visiting Chitral and if you want an overnight camping is highly recommended .",,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\hp\Desktop\zohaib\semester 8\FYP\archive (2)\location_images\Chitral_Gol_National_Park.jpg
DARAAL LAKE,35.21,72.37,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"Daral has a trail full of fun and amusement, since it passes through mountains with sky-touching heights that provide spectacular views.Daral Lake also known Daral Dand is an alpine scenic lake in the hill top of Bahrain a region of Swat Valley in Khyber Pakhtunkhwa the Province of Pakistan. It is situated to the northeast of Saidgai Lake. The lake appears as giant amoeba like in shape and stretched over a huge area.",,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\hp\Desktop\zohaib\semester 8\FYP\archive (2)\location_images\DARAAL_LAKE,_Swat_valley.jpg"
Dhamaka_Lake,35.49,72.5,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"""Dhamaka"" which literally means ""blast"" is the name of riverbed cum lake that has been created during the flood season as the river path was closed due to debris. The nature takes its turn and the ferocious water opened its way with a blast, hence this place being named as ""Dhamaka"" lake.It is a picturesque village that lies on the Utror Valley road and it is an ideal place for Trout fishing. Needless to say that the mountains here are covered with thick deodar forests and the dark green colour of the forests always soothes the eyes.It is some 14km in distance from Kalam Swat.",,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\hp\Desktop\zohaib\semester 8\FYP\archive (2)\location_images\Dhamaka_Lake Utror_Valley.jpg
Dudipatsar_Lake,35.01,74.09,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"The lush green meadows provide a beautiful setting for this walk, passing through several streams, blooms of wildflowers, and cattle grazing from local villages. The villages on this route are pretty close to nature, with people basically dependent on natural resources and relatively removed from the technological progress in other regions of the globe. However, Itís not advisable to track in the snow because it is an avalanche-prone zone.The lake is not only famous due to its beauty but also for its trek among tourists. The trek of Dudipatsar starts at a small village called Besal (3250m) and follows the Poorbi Naar river. The vegetation along the path is quite colourful, including rhododendrons and Japanese maples.",,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\hp\Desktop\zohaib\semester 8\FYP\archive (2)\location_images\Dudipatsar_Lake.jpg
Gabin-Jabba-swat     ,35.17,72.37,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"Gabin Jabba means the ìHoney Marshesî and is located 59km (37miles) from Mingora in Swat. At the elevation of 2582m (8471ft), Gabin Jabba can be reached at approx. 1 h 46 min of travel from Mingora city and in around 5 hrs at a distance of 389 km (241 miles) from Islamabad in Pakistan.",,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\hp\Desktop\zohaib\semester 8\FYP\archive (2)\location_images\Gabin-Jabba-swat.jpg
IZMIS_Lake,35.39,72.37,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"The name Izmis means caves in Kohistani and as the lake is surrounded by several natural caves, the people have named the lake after these caves.The track meanders between sprawling and lush green carpets of grass covered with flowers of different colours and hues. The grazing cows, lambs and goats make the panoramas more exciting and beautiful. A small hamlet called Kalam Banda is located on these eye-soothing highlands where the grazers welcome everyone in their own special rustic style.",,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\hp\Desktop\zohaib\semester 8\FYP\archive (2)\location_images\IZMIS_Lake_Kalam_Valley.jpg
Jabba_Zomalu_Lake,35.37,72.47,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"snow covered mountains, beautiful scenery , clear blue sky , crystal clear water.Jabba Zomalu Lake is an alpine glacial lake located in the Ushu valley of Kalam Upper Swat, Khyber Pakhtunkhwa, Pakistan. Elevation of lake is about 14,000 feet above sea level.",,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\hp\Desktop\zohaib\semester 8\FYP\archive (2)\location_images\Jabba_Zomalu_Lake.JPG
Kaghan-valley,34.54,73.35,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"The Kaghan Valley can be reached by road via Balakot through Mansehra and Abbottabad. In Balakot, public buses and other vehicular transport can be used to travel to the valley. Additionally, the Kaghan Valley can also be reached from Peshawar or the national capital of Islamabad by renting a car to Abbottabad or Mansehra; tourists can then order a taxi or other available methods of public transport to go to the valley.The Kaghan Valley is an alpine valley located in the Hazara region in the Mansehra District of Khyber Pakhtunkhwa, Pakistan.[1][2][3] The valley covers a distance of 155 kilometres (96 mi)[4] across northern Pakistan, rising from its lowest elevation of 650 m (2,134 ft) to its highest point at the Babusar Pass around 4,170 m (13,690 ft).",,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\hp\Desktop\zohaib\semester 8\FYP\archive (2)\location_images\Kaghan-valley.jpg
Kalam-swat,35.49,72.57,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"Visitors can see the snowy mountains from Matiltan, including Falak Sair Mountain, with the height of 5, 918 meters (19,416 feet) and an unnamed peak of 6,096 meters (20, 000 feet) height. Ushu Valley constitutes some of the beautiful parts of Swat Valley. Another notable lake in the Kalam Valley is the Kundol Lake located in the north of Utror region, 19 km away from Kalam.",,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\hp\Desktop\zohaib\semester 8\FYP\archive (2)\location_images\Kalam-swat.jpg
Kalash_Valley,35.7,71.69,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"Kalasha Valley is located at an elevation of over 6,500 feet above sea level, and is characterized by steep slopes, narrow gorges, and rocky terrain. The area is home to a diverse range of flora and fauna, including rare species such as the snow leopard and the Himalayan black bear.",,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\hp\Desktop\zohaib\semester 8\FYP\archive (2)\location_images\Kalash_Valley_chitral.jpg
Lulusar_Lake,35,73.15,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"Lalusar, is a group of mountain peaks and a lake in the Kaghan Valley in the Khyber-Pakhtunkhwa province of Pakistan.Lulusar marks the historic place where 55 participants of the 1857 war of independence were arrested. The lake is much bigger than other lakes around the valley, and is surrounded by snowcapped hills, making it a natural tourist attraction.The lake is fed by melting glaciers and snowmelt from the nearby mountains, and it's a popular spot for hiking, picnicking, and camping.",,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\hp\Desktop\zohaib\semester 8\FYP\archive (2)\location_images\Lulusar_Lake,_Naran,.jpg"
Nathia_Gali,34.07,73.38,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"NathiaGali is a hill station and mountain resort town located in the Abbottabad District of Khyber Pakhtunkhwa, Pakistan. It is located at the center of the Galiyat range, where several hill stations are situated.Nathia Gali is known for its scenic beauty, pleasant weather, and hiking tracks which are much cooler than the rest of the Galyat range due to it being at a higher altitude. The alpine resort of Nathia Gali is a renowned tourist destination.",,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\hp\Desktop\zohaib\semester 8\FYP\archive (2)\location_images\Nathia_Gali.jpg
Takht-e-bahi,34.28,71.94,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"The Buddhist monastic complex of Takht-i-Bahi (Throne of Origins) was founded in the early 1st century. Owing to its location on the crest of a high hill, it escaped successive invasions and is still exceptionally well preserved. Nearby are the ruins of Sahr-i-Bahlol, a small fortified city dating from the same period.",,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\hp\Desktop\zohaib\semester 8\FYP\archive (2)\location_images\Takht-e-bahi.jpg
Umbrella_Waterfall,45.81,-123.77,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"Umbrella Waterfall is a waterfall located in the Sajikot area of Abbottabad District. It has recently emerged as a new tourist attraction in the KPK province of Pakistan. The waterfall is located 27 Kilometers from Havelian.The unique and beautiful natural architecture makes the Umbrella waterfall a popular tourist destination. In addition, a stream of crystal clear water flows between the large rocks. The water showers provide a breathtaking spectacle that revitalizes the spirit, and the awe-inspiring beauty of nature can be felt in the atmosphere of the amber waterfall.",,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\hp\Desktop\zohaib\semester 8\FYP\archive (2)\location_images\Umbrella_Waterfall_Abbottabad.jpg
White-Palace-Swat,34.66,72.34,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"The name was given to the palace as it was built of white marble. The palace now serves as a hotel and is a very famous tourist resort. There are 24 active spacious decorated rooms and the Royal Suite (ex-King's bedroom) where Queen Elizabeth once stayed for three days, the White Tower is the most famous castle keep in the world. It was built to awe, subdue and terrify Londoners, and to deter foreign invaders.",,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\hp\Desktop\zohaib\semester 8\FYP\archive (2)\location_images\White-Palace-Swat.jpg
Khyber Pass,34.09,71.15,Pakistan,PK,Khyber Pakhtunkhwa,minor,,,"The Khyber Pass is a mountain pass that links Afghanistan and Pakistan. Throughout its history it has been an important trade route between Central Asia and South Asia, and is a strategic military location.",,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\hp\Desktop\zohaib\semester 8\FYP\archive (2)\location_images\KhyberPass.jpg
